user_id,full_name,balance,currency_code,currency_name,card_number,purchase_history,last_purchase_date,account_open_date
1,Bette Trevon,241633.13,USD,Japanese Yen,3574149298496063,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,1/25/2021,8/15/2013
2,Haywood Whenman,948831.08,JPY,Australian Dollar,30513903182372,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",12/31/2020,2/20/2014
3,Sammy Reyner,402504.7,AUD,Australian Dollar,372301632215267,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",10/1/2020,12/16/2014
4,Langsdon Sliney,52302.97,AUD,Japanese Yen,4913197763873652,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",11/3/2020,9/13/2017
5,Godard Renney,974026.29,AUD,US Dollar,3544777044874816,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2/14/2021,9/23/2018
6,Lucy Allcock,629152.46,GBP,British Pound,6767626623704877712,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",4/27/2021,8/31/2021
7,Beryl Peaker,607194.12,AUD,US Dollar,5048374995109768,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",8/11/2020,7/14/2014
8,Bobbi Leaman,690124.31,AUD,Japanese Yen,5610293119351189,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,8/23/2020,10/15/2019
9,Tracey Aysh,949712.08,USD,British Pound,3550878923335589,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",8/11/2020,2/16/2018
10,Harriet Ciccottio,289805.95,JPY,Euro,4175006326971411,Sed ante. Vivamus tortor. Duis mattis egestas metus.,8/2/2019,5/24/2010
11,Con Biasioli,231663.24,USD,Japanese Yen,4017958157182454,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",5/6/2019,9/4/2021
12,Orelie MacCumeskey,320639.58,AUD,Euro,3550203589772993,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,2/25/2021,11/2/2012
13,Kimble Lockie,142329.8,EUR,Euro,337941088445910,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",2/18/2019,4/25/2017
14,Jackson Drewe,548318.28,USD,Euro,4936067468505774539,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",2/14/2020,7/20/2014
15,Sanson Oddboy,940284.04,USD,US Dollar,3564617452319869,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1/26/2021,5/3/2018
16,Pegeen McKew,481488.58,JPY,Australian Dollar,633110110725262952,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",11/1/2020,11/15/2010
17,Tansy Wickie,174882.87,JPY,Australian Dollar,3563836988347100,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",4/14/2021,12/25/2013
18,Tonya Raisbeck,392958.48,GBP,US Dollar,5007668155167956,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",5/16/2020,7/12/2018
19,Bent Roebuck,650524.95,EUR,British Pound,3588650706850712,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",10/13/2020,11/30/2010
20,Jock Malshinger,694896.02,JPY,US Dollar,3544904034807610,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",10/26/2021,7/21/2021
21,Fernando Oaten,821186.23,EUR,British Pound,3555230317835961,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",10/22/2020,1/29/2014
22,Felike Dancey,203303.68,EUR,Euro,3547953298241880,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",5/16/2020,4/17/2017
23,Roze Fromont,824173.99,JPY,US Dollar,3538058949059581,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",12/11/2021,12/2/2019
24,Sully Hackett,356014.59,GBP,US Dollar,3583016601974053,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",7/21/2020,6/15/2018
25,Bev Bottini,582808.61,AUD,Australian Dollar,3580374371945172,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",12/30/2020,3/1/2017
26,Estelle Belcher,330143.85,GBP,US Dollar,4405277835808186,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",3/12/2021,11/27/2020
